brand,volumeInOz,quantity,price,pricePerCup,biodegrability,opacity,logo
greatValue,9,50,$2.98,$0.06,FALSE,TRUE,FALSE
decorRack,9,50,$5.99,$0.12,FALSE,TRUE,FALSE
tigerChef,9,100,$7.99,$0.08,FALSE,TRUE,FALSE
smartly,9,80,$2.79,$0.03,FALSE,FALSE,FALSE
solo,9,50,$4.04,$0.08,FALSE,FALSE,FALSE
greatValue,9,100,$3.76,$0.04,FALSE,FALSE,FALSE
ecoProducts,9,1000,$187.69,$0.19,TRUE,FALSE,TRUE
worldCentric,9,2000,$220.00,$0.11,TRUE,FALSE,TRUE
hefty,18,50,$3.98,$0.08,FALSE,TRUE,FALSE
solo,18,50,$3.98,$0.08,FALSE,TRUE,FALSE
greatValue,18,120,$5.98,$0.05,FALSE,TRUE,FALSE
upAndUp,18,36,$2.49,$0.07,FALSE,TRUE,FALSE
greatValue,16,25,$1.98,$0.08,FALSE,FALSE,FALSE
solo,18,25,$3.05,$0.12,FALSE,FALSE,FALSE
upAndUp,18,28,$2.99,$0.11,FALSE,FALSE,FALSE
worldCentric,16,1000,$181.00,$0.18,TRUE,FALSE,TRUE
ecoProducts,16,1000,$279.85,$0.28,TRUE,FALSE,TRUE
