respID,obsID,qID,altID,choice,price,percent_cacao,crispy_rice,brand
1,1,1,1,1,1,0.6,1,Ghirardelli
1,1,1,2,0,1,0.1,1,Ghirardelli
1,1,1,3,0,1.2,0.6,0,Lindt
1,2,2,1,0,1.5,0.1,0,Hershey
1,2,2,2,1,2.5,0.8,1,Hershey
1,2,2,3,0,2,0.8,0,Hershey
1,3,3,1,0,1.2,0.6,1,Lindt
1,3,3,2,1,3,0.8,0,Ghirardelli
1,3,3,3,0,3,0.1,0,Hershey
1,4,4,1,1,1.5,0.6,1,Hershey
1,4,4,2,0,2.5,0.6,0,Hershey
1,4,4,3,0,2.5,0.8,1,Hershey
1,5,5,1,1,2,0.8,0,Ghirardelli
1,5,5,2,0,2.5,0.6,0,Lindt
1,5,5,3,0,2,0.1,0,Hershey
1,6,6,1,0,1.2,0.1,1,Hershey
1,6,6,2,1,1.5,0.8,0,Ghirardelli
1,6,6,3,0,2,0.1,0,Lindt
1,7,7,1,0,1,0.8,0,Ghirardelli
1,7,7,2,0,2.5,0.6,1,Ghirardelli
1,7,7,3,1,2.5,0.8,0,Hershey
1,8,8,1,1,1.5,0.1,0,Lindt
1,8,8,2,0,2,0.7,0,Ghirardelli
1,8,8,3,0,2,0.1,1,Hershey
2,9,1,1,1,1.2,0.6,1,Ghirardelli
2,9,1,2,0,1.2,0.7,1,Hershey
2,9,1,3,0,1,0.7,1,Ghirardelli
2,10,2,1,0,1.5,0.1,1,Hershey
2,10,2,2,1,2.5,0.7,1,Ghirardelli
2,10,2,3,0,3,0.6,1,Hershey
2,11,3,1,1,2.5,0.8,0,Lindt
2,11,3,2,0,1.2,0.1,0,Lindt
2,11,3,3,0,1,0.8,1,Lindt
2,12,4,1,1,1,0.6,1,Lindt
2,12,4,2,0,1,0.1,1,Hershey
2,12,4,3,0,1.2,0.8,0,Ghirardelli
2,13,5,1,0,2,0.7,1,Hershey
2,13,5,2,1,3,0.8,0,Ghirardelli
2,13,5,3,0,1.2,0.8,0,Lindt
2,14,6,1,1,1,0.6,0,Ghirardelli
2,14,6,2,0,3,0.7,1,Ghirardelli
2,14,6,3,0,3,0.7,1,Hershey
2,15,7,1,0,2,0.6,1,Hershey
2,15,7,2,0,1,0.6,1,Lindt
2,15,7,3,1,2,0.1,1,Hershey
2,16,8,1,0,1,0.6,1,Hershey
2,16,8,2,1,3,0.1,0,Hershey
2,16,8,3,0,1.2,0.7,1,Lindt
3,17,1,1,0,1,0.1,1,Hershey
3,17,1,2,1,1.5,0.8,1,Lindt
3,17,1,3,0,1.2,0.6,1,Ghirardelli
3,18,2,1,1,1.2,0.8,0,Ghirardelli
3,18,2,2,0,2,0.8,1,Lindt
3,18,2,3,0,2.5,0.1,1,Ghirardelli
3,19,3,1,1,1,0.7,0,Ghirardelli
3,19,3,2,0,1.5,0.8,0,Lindt
3,19,3,3,0,1.2,0.6,0,Hershey
3,20,4,1,0,1.5,0.6,1,Lindt
3,20,4,2,1,2,0.8,0,Ghirardelli
3,20,4,3,0,1.2,0.7,1,Lindt
3,21,5,1,1,1,0.6,1,Hershey
3,21,5,2,0,1.5,0.7,1,Lindt
3,21,5,3,0,3,0.6,1,Ghirardelli
3,22,6,1,0,2,0.6,1,Hershey
3,22,6,2,1,2.5,0.1,0,Ghirardelli
3,22,6,3,0,2,0.8,1,Lindt
3,23,7,1,0,2.5,0.1,1,Hershey
3,23,7,2,1,1,0.1,1,Lindt
3,23,7,3,0,1.5,0.7,0,Ghirardelli
3,24,8,1,0,3,0.6,1,Lindt
3,24,8,2,0,1.5,0.7,0,Hershey
3,24,8,3,1,1.2,0.6,0,Hershey
4,25,1,1,0,1.5,0.6,0,Hershey
4,25,1,2,0,2.5,0.7,1,Hershey
4,25,1,3,1,2.5,0.6,0,Hershey
4,26,2,1,1,3,0.7,0,Ghirardelli
4,26,2,2,0,2.5,0.6,0,Ghirardelli
4,26,2,3,0,1,0.7,0,Ghirardelli
4,27,3,1,0,1,0.7,1,Hershey
4,27,3,2,0,2.5,0.1,0,Hershey
4,27,3,3,1,1,0.1,0,Lindt
4,28,4,1,1,1,0.1,0,Hershey
4,28,4,2,0,1.2,0.6,0,Hershey
4,28,4,3,0,2,0.1,0,Ghirardelli
4,29,5,1,0,1.5,0.7,0,Lindt
4,29,5,2,1,1.2,0.7,0,Hershey
4,29,5,3,0,2,0.7,1,Hershey
4,30,6,1,1,1.2,0.6,1,Lindt
4,30,6,2,0,1,0.7,0,Ghirardelli
4,30,6,3,0,2.5,0.8,1,Ghirardelli
4,31,7,1,1,1,0.7,0,Ghirardelli
4,31,7,2,0,2.5,0.1,1,Hershey
4,31,7,3,0,2.5,0.6,1,Ghirardelli
4,32,8,1,1,2.5,0.7,0,Ghirardelli
4,32,8,2,0,1.2,0.7,0,Ghirardelli
4,32,8,3,0,1.2,0.7,1,Lindt
5,33,1,1,1,3,0.6,1,Hershey
5,33,1,2,0,1.5,0.8,0,Lindt
5,33,1,3,0,1.2,0.1,0,Hershey
5,34,2,1,0,1,0.6,1,Lindt
5,34,2,2,1,1.2,0.6,1,Lindt
5,34,2,3,0,3,0.6,0,Hershey
5,35,3,1,1,1.5,0.1,1,Lindt
5,35,3,2,0,1,0.6,1,Ghirardelli
5,35,3,3,0,1,0.6,1,Hershey
5,36,4,1,0,1,0.1,0,Ghirardelli
5,36,4,2,0,1,0.6,0,Hershey
5,36,4,3,1,1,0.6,1,Hershey
5,37,5,1,0,1.5,0.1,1,Hershey
5,37,5,2,1,1.2,0.1,1,Hershey
5,37,5,3,0,2,0.1,0,Lindt
5,38,6,1,0,2,0.7,1,Hershey
5,38,6,2,0,2,0.6,0,Hershey
5,38,6,3,1,1.2,0.7,1,Lindt
5,39,7,1,0,1.5,0.8,1,Lindt
5,39,7,2,0,2,0.1,0,Ghirardelli
5,39,7,3,1,1.5,0.6,0,Lindt
5,40,8,1,0,3,0.8,0,Hershey
5,40,8,2,1,2,0.1,0,Hershey
5,40,8,3,0,3,0.7,0,Ghirardelli
6,41,1,1,0,3,0.6,0,Lindt
6,41,1,2,0,2,0.7,0,Lindt
6,41,1,3,1,1.2,0.8,0,Ghirardelli
6,42,2,1,1,1,0.1,1,Lindt
6,42,2,2,0,3,0.6,1,Lindt
6,42,2,3,0,1.5,0.6,1,Ghirardelli
6,43,3,1,0,2,0.7,1,Ghirardelli
6,43,3,2,1,1.5,0.7,1,Ghirardelli
6,43,3,3,0,1.5,0.7,0,Lindt
6,44,4,1,0,2,0.8,0,Hershey
6,44,4,2,1,2,0.1,1,Lindt
6,44,4,3,0,1.2,0.6,1,Lindt
6,45,5,1,0,1.2,0.1,1,Lindt
6,45,5,2,0,2.5,0.6,0,Ghirardelli
6,45,5,3,1,1,0.1,1,Ghirardelli
6,46,6,1,0,1.2,0.1,1,Hershey
6,46,6,2,0,1.5,0.1,1,Ghirardelli
6,46,6,3,1,1,0.6,1,Lindt
6,47,7,1,0,2,0.6,0,Lindt
6,47,7,2,1,1,0.8,1,Lindt
6,47,7,3,0,2,0.1,1,Hershey
6,48,8,1,0,1,0.6,0,Lindt
