region,state
Northeast,Maine
Northeast,New Hampshire
Northeast,Vermont
Northeast,Massachusetts
Northeast,Rhode Island
Northeast,Connecticut
Northeast,New York
Northeast,New Jersey
Northeast,Pennsylvania
Northeast,Delaware
Northeast,Maryland
Lake States,Michigan
Lake States,Wisconsin
Lake States,Minnesota
Corn Belt,Ohio
Corn Belt,Indiana
Corn Belt,Illinois
Corn Belt,Iowa
Corn Belt,Missouri
Northern Plains,North Dakota
Northern Plains,South Dakota
Northern Plains,Nebraska
Northern Plains,Kansas
Appalachian,Virginia
Appalachian,West Virginia
Appalachian,North Carolina
Appalachian,Kentucky
Appalachian,Tennessee
Southeast,South Carolina
Southeast,Georgia
Southeast,Florida
Southeast,Alabama
Delta States,Mississippi
Delta States,Arkansas
Delta States,Louisiana
Southern Plains,Oklahoma
Southern Plains,Texas
Mountain,Montana
Mountain,Idaho
Mountain,Wyoming
Mountain,Colorado
Mountain,New Mexico
Mountain,Arizona
Mountain,Utah
Mountain,Nevada
Pacific,Washington
Pacific,Oregon
Pacific,California
Pacific,Alaska
Pacific,Hawaii
