state,year,milk_produced
Maine,1970,619000000
New Hampshire,1970,356000000
Vermont,1970,1970000000
Massachusetts,1970,658000000
Rhode Island,1970,75000000
Connecticut,1970,661000000
New York,1970,10341000000
New Jersey,1970,730000000
Pennsylvania,1970,7124000000
Delaware,1970,130000000
Maryland,1970,1560000000
Michigan,1970,4602000000
Wisconsin,1970,18435000000
Minnesota,1970,9636000000
Ohio,1970,4420000000
Indiana,1970,2382000000
Illinois,1970,2850000000
Iowa,1970,4670000000
Missouri,1970,3012000000
North Dakota,1970,1065000000
South Dakota,1970,1578000000
Nebraska,1970,1566000000
Kansas,1970,1740000000
Virginia,1970,1749000000
West Virginia,1970,374000000
North Carolina,1970,1485000000
Kentucky,1970,2471000000
Tennessee,1970,2123000000
South Carolina,1970,512000000
Georgia,1970,1182000000
Florida,1970,1641000000
Alabama,1970,816000000
Mississippi,1970,1049000000
Arkansas,1970,685000000
Louisiana,1970,1089000000
Oklahoma,1970,1250000000
Texas,1970,3065000000
Montana,1970,326000000
Idaho,1970,1490000000
Wyoming,1970,140000000
Colorado,1970,856000000
New Mexico,1970,304000000
Arizona,1970,585000000
Utah,1970,819000000
Nevada,1970,142000000
Washington,1970,2091000000
Oregon,1970,970000000
California,1970,9457000000
Alaska,1970,19000000
Hawaii,1970,137000000
Maine,1971,629000000
New Hampshire,1971,359000000
Vermont,1971,2025000000
Massachusetts,1971,658000000
Rhode Island,1971,70000000
Connecticut,1971,660000000
New York,1971,10431000000
New Jersey,1971,684000000
Pennsylvania,1971,7155000000
Delaware,1971,133000000
Maryland,1971,1564000000
Michigan,1971,4796000000
Wisconsin,1971,18848000000
Minnesota,1971,9618000000
Ohio,1971,4488000000
Indiana,1971,2430000000
Illinois,1971,2814000000
Iowa,1971,4577000000
Missouri,1971,2999000000
North Dakota,1971,1023000000
South Dakota,1971,1572000000
Nebraska,1971,1569000000
Kansas,1971,1688000000
Virginia,1971,1751000000
West Virginia,1971,363000000
North Carolina,1971,1500000000
Kentucky,1971,2480000000
Tennessee,1971,2122000000
South Carolina,1971,516000000
Georgia,1971,1188000000
Florida,1971,1785000000
Alabama,1971,819000000
Mississippi,1971,1011000000
Arkansas,1971,698000000
Louisiana,1971,1129000000
Oklahoma,1971,1260000000
