Year,China,Taiwan,Japan,Malaysia,Germany,South Korea,United States,Others,World
1995,"NA","NA",16.4,"NA","NA","NA",34.75,"NA",77.6
1996,"NA","NA",21.2,"NA","NA","NA",38.85,"NA",88.6
1997,"NA","NA",35,"NA","NA","NA",51,"NA",125.8
1998,"NA","NA",49,"NA","NA","NA",53.7,"NA",154.9
1999,"NA","NA",80,"NA","NA","NA",60.8,"NA",201.3
2000,2.5,"NA",128.6,"NA",22.5,"NA",75,48.200000000000017,276.8
2001,3,3.5,171.2,0,23.5,0,100.3,69.800000000000011,371.3
2002,10,8,251.1,0,55,0,120.6,97.299999999999955,542
2003,13,17,363.9,0,121.5,0,103,131,749.4
2004,40,39.299999999999997,601.5,0,193,0,138.7,186.29999999999995,1198.8
2005,128.30000000000001,88,833,0,339,5.3,153.1,235.70000000000027,1782.4
2006,341.8,169.5,926.4,0,469.1,13,177.6,361.09999999999991,2458.5
2007,1192.8735755126208,413.19362206495737,937.5,100.1,815.35421116529074,31.883935905674612,261.98039695343596,410.97322650945807,4163.858968111437
2008,2535.9804999999997,871.4,1268,397.9,1476.6923205919056,70.848164851527258,403.12500000000006,709.03112641453299,7732.977111857965
2009,5193.2335000000003,1573.2,1503,1228.0566037735848,1606.0497978436656,234,594.7921698113207,663.66000000000349,12595.992071428573
2010,12882.114299891044,3755.9046488657718,2169,1919.0129442119946,2181.2726133183096,886.29518449560589,1162.517725115267,1443.4220633203404,26399.539479218332
2011,24338.646000000004,4773.1499999999996,2707,2684.5953947368421,2152.8626315789475,1227.3,1044.1894736842105,1834.0178571428623,40761.76135714286
2012,24139.014999999999,5270.1999999999989,2641.8,2597.365436241611,1406.7827181208054,1107.0999999999999,886.4018456375838,1474.9000000000015,39523.564999999995
2013,26871.3,6338.5650000000005,3679,3072.59,1054.885,1127.0999999999999,868.425,1452.6312499999985,44464.496250000004
